STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Maine,1997,1537085,74503,669487,793095,1527663,1357121,906697,405474,44950,14191,71625
Maryland,1997,6040883,292260,2343928,3404695,6217120,5522636,3359984,1893583,269069,20692,592725
Massachusetts,1997,7585624,337880,3341044,3906700,7479407,6715104,4469869,2024501,220734,18998,439273
Michigan,1997,13759710,806713,8728340,4224657,14235902,11523712,6777568,4401535,344609,304454,1478950
Minnesota,1997,6304977,251210,3321859,2731908,6890773,5313306,3461407,1641569,210330,375459,799154
Mississippi,1997,2274700,305516,1253204,715980,2319324,2033751,1242701,629587,161463,6010,244101
Missouri,1997,5550134,336452,2695581,2518101,5527705,4709239,2906899,1589440,212900,97582,552305
Montana,1997,989991,90565,465343,434083,972059,897399,557840,303522,36037,3648,59716
Nebraska,1997,1994021,115783,630765,1247473,1946725,1671621,1081994,515148,74479,2854,213672
Nevada,1997,1701290,68131,1089122,544037,1905940,1431988,858110,526090,47788,9584,369529
New Hampshire,1997,1339186,44339,94550,1200297,1431472,1161632,758383,363154,40095,3041,169477
New Jersey,1997,12910890,427260,4799701,7683929,13242022,11616370,7106433,4171762,338175,158258,938533
New Mexico,1997,1768148,231271,1287163,249714,1826524,1542609,884961,575080,82568,7665,249670
New York,1997,26775074,1446691,10477889,14850494,28227561,24072569,16259479,7136050,677040,256438,2561130
North Carolina,1997,6827952,471258,4258017,2098677,7007690,5964971,3704935,1869526,390510,45725,848228
North Dakota,1997,683331,75316,270361,337654,679692,576679,351542,177522,47615,4748,47992
Ohio,1997,12630491,728751,5124101,6777639,12421963,10877766,6449340,4011117,417309,219372,1075506
Oklahoma,1997,3413742,278209,1974522,1161011,3390894,2944952,1739943,1013092,191917,125268,282622
Oregon,1997,3477420,191660,1826329,1459431,3792572,3261003,1992346,1156521,112136,15647,395441
Pennsylvania,1997,15184431,781493,5695856,8707082,15777276,12904327,8216134,4229482,458711,139512,1400173
Rhode Island,1997,1185534,63214,470876,651444,1175638,1116907,740878,336147,39882,7345,21853
South Carolina,1997,3874045,303240,2027332,1543473,3921465,3278190,1958816,1110236,209138,37720,509633
South Dakota,1997,747462,70568,265354,411540,711052,629506,390953,206419,32134,916,63192
Tennessee,1997,4390879,359191,2114799,1916889,4695409,4090532,2656651,1222265,211616,37365,479484
Texas,1997,23091567,1688975,9878849,11523743,23671010,19419383,12038459,6338637,1042287,111306,3147085
Utah,1997,2187279,140044,1367806,679429,2178778,1835534,1176955,504640,153939,6824,282827
Vermont,1997,1022546,37631,232557,752358,1069297,712465,461439,229220,21806,3955,96165
Virginia,1997,7345090,356767,2938616,4049707,7436340,6263852,3852814,2154066,256972,126815,831898
Washington,1997,6667626,388123,4443435,1836068,6792261,5609398,3356299,1986859,266240,27083,897137
West Virginia,1997,2053981,170220,1286247,597514,2018185,1830137,1131889,586187,112061,28434,144209
Wisconsin,1997,6724752,288586,3681682,2754484,6990489,5926381,3747953,1988121,190307,36198,761190
Wyoming,1997,660079,43171,320566,296342,695127,590918,362705,206739,21474,1630,84230
Alabama,1998,4140537,374153,2589819,1176565,4245033,3630618,2218693,1155492,256433,101298,458351
Alaska,1998,1206195,157335,745814,303046,1222893,1094413,680848,376448,37117,5339,104903
Arizona,1998,4675296,470398,2000801,2204097,4726098,3649658,2091741,1315931,241986,37799,759108
Arkansas,1998,2567380,226475,1505419,835486,2536027,2255248,1367612,731619,156017,14262,192590
